case_id,N,Nt,Q_min,Q_mean,Q_max,Q_std,T_min_first,T_mean_first,T_max_last,f_mean_last,melt_frac_last,liquid_frac_last
125,120,24,18867.7,100000,290337,68300.1,303.404,314.877,452.828,0.952897,0.966944,0.941458
126,120,24,34513.9,114691,718601,192458,302.755,315.76,506.562,0.857373,0.857431,0.857014
127,120,24,4.5,66564,1.02174e+06,247947,300.222,313.278,506.331,0.742485,0.902361,0.738333
128,120,24,47922.4,100000,316729,60682.2,303.774,314.549,445.23,0.966944,0.966944,0.966944
129,120,24,4.5,110905,1.05278e+06,316216,300.466,316.055,582.022,0.8148,0.860625,0.812292
130,120,24,4.5,175195,1.18009e+06,406731,301.41,319.968,672.309,0.8145,0.815278,0.814167
131,120,24,65318.1,100000,217847,34364.3,304.422,314.336,417.358,0.966944,0.966944,0.966944
132,120,24,4.5,111635,1.18313e+06,333524,300.055,315.887,536.245,0.745099,0.868889,0.741875
133,120,24,66520.2,100000,222543,39078.3,304.585,314.353,418.874,0.966944,0.966944,0.966944
134,120,24,70966.5,100000,323146,50319.1,304.514,314.303,425.702,0.966944,0.966944,0.966944
135,120,24,80532.4,100000,222456,24941.6,305.063,314.149,393.96,0.966944,0.966944,0.966944
136,120,24,4.5,53744.3,1.17935e+06,238009,300.12,312.536,479.112,0.684062,0.920347,0.679375
137,120,24,4.5,123347,1.19525e+06,346908,300.363,316.775,594.469,0.822748,0.856944,0.820903
138,120,24,44384.5,81467.2,450826,84835.2,302.921,313.523,427.694,0.911528,0.911528,0.911528
139,120,24,80900.6,100000,208696,24862.3,305.104,314.148,398.169,0.966944,0.966944,0.966944
140,120,24,88716.3,100000,147512,12153.7,305.566,314.092,394.943,0.966944,0.966944,0.966944
141,120,24,89084.6,100000,164726,14942.8,305.589,314.08,394.548,0.966944,0.966944,0.966944
142,120,24,88001.9,100000,159311,15755.8,305.557,314.109,404.555,0.966944,0.966944,0.966944
143,120,24,62860.6,100000,203907,41580.7,304.061,314.389,426.376,0.966944,0.966944,0.966944
144,120,24,64289.8,100000,257825,45518.4,304.074,314.282,402.268,0.966944,0.966944,0.966944
145,120,24,47608.4,106373,565975,147010,303.041,315.09,474.611,0.865278,0.865278,0.865278
146,120,24,39012.9,99608.3,577828,120942,303.568,314.719,461.075,0.883147,0.883611,0.878333
147,120,24,75575.4,100000,207185,32022.9,304.774,314.196,398.271,0.966944,0.966944,0.966944
148,120,24,56499.2,102944,625895,143862,303.647,314.764,468.083,0.89375,0.89375,0.89375
149,120,24,72909.4,100000,214201,29019.4,304.751,314.253,414.497,0.966944,0.966944,0.966944
150,120,24,49856.8,83740.1,678855,109748,303.384,313.636,430.27,0.926597,0.926597,0.926597
151,120,24,96824,100000,109432,3693.07,306.08,314.036,396.968,0.966944,0.966944,0.966944
152,120,24,4.5,138801,1.16739e+06,364233,300.059,317.441,583.324,0.723867,0.842083,0.720347
153,120,24,82821.8,100000,250144,33222.6,305.184,314.125,398.476,0.966944,0.966944,0.966944
154,120,24,4.5,48596.3,1.14832e+06,224441,300.073,312.208,452.979,0.64625,0.924722,0.640833
155,120,24,19333.3,65179.7,468589,86712,301.743,312.808,393.603,0.875698,0.919375,0.826458
156,120,24,28617.7,91379.3,568044,121551,302.491,314.341,450.978,0.875589,0.882014,0.862569
157,120,24,48988.4,128384,605948,155003,303.43,316.35,508.484,0.839722,0.839722,0.839722
158,120,24,4.5,113047,1.09473e+06,317407,300.094,316.114,558.981,0.800878,0.856944,0.798681
159,120,24,48858.3,127270,686766,181780,303.946,316.326,541.445,0.859583,0.859583,0.859583
160,120,24,38026.2,78435.5,538888,119348,302.601,313.48,430.486,0.886007,0.895972,0.845347
161,120,24,4.5,144024,1.15097e+06,369292,300.776,317.861,592.984,0.812321,0.838889,0.810486
162,120,24,42152.6,76418.1,506744,99837.4,303,313.306,411.256,0.900398,0.90125,0.890208
163,120,24,81970.4,100000,205465,26719.6,305.189,314.162,407.537,0.966944,0.966944,0.966944
164,120,24,83518.6,100000,169371,18977.6,305.245,314.112,394.607,0.966944,0.966944,0.966944
165,120,24,37282.9,90769.6,627710,148957,302.681,314.243,453.238,0.880166,0.883611,0.864931
166,120,24,85118.8,100000,173334,15987.7,305.349,314.091,392.492,0.966944,0.966944,0.966944
167,120,24,84667.6,100000,180162,18724.2,305.351,314.126,402.853,0.966944,0.966944,0.966944
168,120,24,4.5,37290.1,1.02985e+06,187486,300.026,311.478,408.607,0.510619,0.783125,0.50375
169,120,24,38156.9,111167,691849,175909,302.727,315.492,520.129,0.871841,0.872292,0.868264
170,120,24,4.5,110678,1.18756e+06,332986,300.999,315.897,583.8,0.844568,0.870486,0.842847
171,120,24,4.5,83481.6,1.15979e+06,278374,300.354,314.349,495.055,0.805597,0.890417,0.800556
172,120,24,27041.8,74423.3,428205,104536,301.948,313.356,415.949,0.846278,0.873125,0.811389
173,120,24,30209.1,88249.3,593947,148674,302.193,314.173,447.571,0.868233,0.877639,0.8475
174,120,24,43933.3,100000,341754,75415.5,303.415,314.64,460.56,0.966944,0.966944,0.966944
175,120,24,51048.1,85997.5,495352,111652,303.305,313.776,424.226,0.890764,0.890764,0.890764
176,120,24,4.5,139625,1.17422e+06,361592,301.305,317.855,558.797,0.839157,0.841736,0.838611
177,120,24,42032.4,125130,710146,195601,302.779,316.268,530.667,0.852986,0.852986,0.852986
178,120,24,4.5,101690,1.15463e+06,313908,300.489,315.506,520.157,0.837684,0.874514,0.835833
179,120,24,4.5,145214,1.19091e+06,372660,300.37,318.233,627.641,0.81886,0.838333,0.817917
180,120,24,88645.5,100000,177600,18525.9,305.558,314.089,396.554,0.966944,0.966944,0.966944
181,120,24,51774.1,88542.4,420223,97015.9,303.312,313.898,430.304,0.879306,0.879306,0.879306
182,120,24,80234.8,100000,183605,24293.5,305.06,314.149,398.627,0.966944,0.966944,0.966944
183,120,24,26273.6,74117.9,502660,105803,302.794,313.367,427.874,0.861704,0.883125,0.830139
184,120,24,73955,100000,180703,24373.9,304.84,314.221,404.703,0.966944,0.966944,0.966944
185,120,24,86690,100000,203159,20585.8,305.426,314.067,390.543,0.966944,0.966944,0.966944
186,120,24,30963.1,70093.5,498462,101260,302.284,312.992,392.142,0.857651,0.902292,0.729514
187,120,24,4.5,55587.1,1.12473e+06,239823,300.392,312.583,496.741,0.709281,0.916458,0.702708
188,120,24,78814.1,100000,166966,23599.3,305.066,314.215,411.884,0.966944,0.966944,0.966944
189,120,24,-831.314,100000,430056,114632,300.985,315.143,490.63,0.921697,0.966944,0.909236
190,120,24,56740.8,100000,247336,51843.4,303.656,314.415,427.585,0.966944,0.966944,0.966944
191,120,24,23004.4,117431,529359,151970,304.435,316.005,463.236,0.805225,0.805347,0.804861
192,120,24,4.5,77705.5,1.1775e+06,287626,300.548,314.032,554.002,0.824499,0.900903,0.821042
193,120,24,41659.9,103420,751858,176549,302.88,314.996,500.002,0.885871,0.887292,0.872292
194,120,24,23297.4,81977.2,415652,105447,302.27,313.844,424.473,0.826646,0.842569,0.805347
195,120,24,24184.3,108642,605159,164268,302.393,315.457,488.071,0.844486,0.851875,0.833819
196,120,24,56380.1,112637,518745,133511,303.707,315.269,445.644,0.856458,0.856458,0.856458
197,120,24,4.5,107795,1.1774e+06,327692,300.122,315.873,559.545,0.807923,0.871736,0.805764
198,120,24,36817,87480.3,592449,142848,302.857,314.058,453.616,0.877605,0.878403,0.87375
199,120,24,69681.6,100000,234408,38999,304.591,314.286,407.885,0.966944,0.966944,0.966944
200,120,24,47177.7,100000,255707,55402.3,303.453,314.57,436.593,0.966944,0.966944,0.966944
